Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_001259545.2	4	5	72	88
NM_143782.3	52	50	544	525
NM_001103955.3	0	0	3	2
NM_001274215.1	1	0	6	10
NM_001202062.2	0	0	2	4
NM_137895.3	14	20	55	57
NM_137897.4	4	3	6	12
NM_001274217.2	0	1	0	2
NM_001274218.2	0	0	4	2
NM_137901.2	10	22	313	263
NM_137903.4	2	0	14	2
NM_001169790.3	0	0	0	2
NM_143779.4	0	0	3	0
NM_137906.4	0	8	150	158
NM_080021.4	2	0	14	16
NM_137907.3	1	0	1	1
NM_166584.2	0	7	5	11
NM_001299828.1	0	0	3	3
NM_001299829.1	1	1	5	2
NM_079093.4	36	26	371	396
NR_002553.1	0	0	2	0
NM_137909.5	9	16	213	211
NM_137910.3	184	314	719	614
NM_137911.3	0	0	0	2
NM_137912.2	0	2	4	6
NM_137927.3	0	0	2	2
NM_137934.3	0	0	2	0
NM_137937.4	86	22	7	12
NM_001259551.1	0	4	5	6
NM_137939.3	1	0	0	0
NM_001103962.4	0	1	14	11
NM_080161.2	40	41	261	230
NM_137942.2	12	30	225	157
NM_137943.3	150	194	1320	1223
NM_166597.2	1	1	3	2
NM_079096.3	17	23	12	21
NM_137944.4	2602	4620	27	19
NR_124713.1	0	0	0	4
NM_001169793.2	0	0	1	1
NM_166600.3	0	5	2	2
NM_137946.4	0	0	0	1
NM_166601.2	0	0	0	1
NM_166603.2	0	0	2	0
NM_001103963.2	2	0	1	0
NM_137948.2	30	30	172	126
NM_166604.3	7	4	1	3
NM_166605.2	0	2	4	6
NM_001103964.2	2	0	1	0
NM_001299838.1	0	1	2	0
NM_001103965.3	2	0	4	2
NM_137957.2	0	0	10	8
NM_079974.3	24	32	258	255
NM_137959.2	26	31	195	160
NM_166606.1	0	0	8	6
NM_176251.1	0	0	3	0
NM_176252.1	0	0	0	6
NM_145193.2	19	28	139	98
NM_137960.3	4	2	19	29
NM_137961.3	0	9	8	4
NM_166607.2	1	0	0	0
NM_137962.3	5	3	69	44
NM_057626.4	3	2	38	30
NM_137964.2	2	6	112	142
NM_057785.5	12	62	478	471
NM_057832.5	1	0	1	4
NM_001259552.1	0	1	0	0
NM_137967.4	0	0	1	0
NM_176253.2	6	5	4	6
NM_137968.3	0	0	20	18
NM_001274225.1	1	2	7	6
NM_001259553.1	0	2	2	6
NM_166613.2	15	32	5	8
NM_166614.2	0	0	4	6
NM_137970.5	1	4	2	2
NM_001169803.2	6	3	44	39
NM_001169805.2	0	0	2	0
NM_166618.3	7	5	11	16
NM_166617.2	1	1	0	7
NM_001169804.2	2	0	15	14
NM_166619.2	0	0	2	0
NM_137971.3	1	5	15	10
NM_001274226.1	0	0	7	15
NM_001274227.1	1	2	8	5
NM_001299847.1	0	0	0	1
NM_057856.5	14	18	104	120
NM_079104.3	10	20	82	77
NM_137976.3	0	0	2	2
NM_166622.2	0	0	1	0
NM_080132.3	8	12	128	142
NM_079105.4	4	11	88	91
NM_001299848.1	0	0	1	0
NM_001103968.2	0	0	1	2
NR_124716.1	0	0	2	7
NM_166623.3	24	36	325	305
NM_137981.2	0	0	134	138
NM_001144274.3	7	7	11	11
NM_079106.3	32	58	655	597
NM_137988.3	4	24	188	116
NR_124717.1	4	2	11	7
NM_166625.2	11	5	83	77
NM_137992.3	0	0	0	2
NR_002554.2	0	0	2	0
NM_137993.4	0	0	14	12
NM_079107.4	46	74	182	138
NM_145105.3	16	38	355	387
NR_133136.1	0	0	1	6
NM_057992.3	3	3	15	14
NM_166627.3	16	16	56	46
NM_134318.3	2	2	17	27
NM_001299860.1	0	1	0	1
NM_001299859.1	1	0	1	2
NM_058028.5	5	11	23	41
NM_137996.4	2	10	58	86
NM_058030.4	214	264	1315	1369
NM_079109.3	60	36	196	140
NM_001274230.1	0	0	5	7
NM_001038879.2	0	0	4	4
NM_137997.3	181	369	1994	1946
NM_137998.3	4	8	32	43
NM_137999.3	4	8	72	43
NM_138002.4	12	12	82	82
NM_138005.3	0	0	1	0
NM_001259557.2	1	0	8	4
NM_001259556.1	0	0	4	3
NM_057780.4	0	4	36	33
NM_001299864.1	0	2	1	5
NM_166630.2	1	0	4	5
NR_124719.1	0	0	4	0
NM_001299866.1	0	0	0	1
NM_001299867.1	44	82	22	29
NM_166639.2	74	81	311	280
NM_166635.2	0	0	1	1
NM_166633.2	1	0	4	0
NM_166636.2	16	29	23	19
NM_166638.2	35	79	10	12
NM_001299868.1	0	1	4	0
NM_079111.3	560	646	218	230
NM_001299869.1	0	1	1	2
NM_138008.4	0	0	2	0
NM_138010.4	0	2	7	11
NM_138011.4	12	14	56	30
NM_138012.3	18	28	101	131
NM_138013.3	0	8	62	34
NM_138014.3	1	0	0	0
NM_057933.5	126	182	537	628
NM_001103969.4	8	2	12	8
NM_080532.4	14	32	60	87
NM_001299871.1	0	0	1	3
NM_138018.3	16	32	195	200
NM_138019.3	68	83	527	493
NM_001299872.1	8	16	43	22
NM_057877.4	1	0	7	6
NM_166645.3	0	0	7	7
NM_138020.3	2	0	21	12
NM_138025.3	0	0	0	1
NM_166647.3	0	0	0	1
NM_138026.4	0	0	2	1
NM_138027.3	16	18	102	114
NR_124720.1	0	0	2	0
NM_079112.4	2	2	5	3
NM_001299879.1	1	4	2	2
NM_080227.2	6	17	21	22
NM_001299880.1	0	4	7	7
NM_001299881.1	2	1	1	0
NM_138028.2	8	13	94	122
NM_057734.4	4	1	13	9
NM_166652.4	0	0	0	1
NM_001299884.1	0	2	0	0
NM_138031.3	30	74	556	508
NM_057686.4	1405	2192	5191	5306
NM_058121.4	15	14	115	101
NM_001299885.1	0	1	0	0
NM_001103973.2	0	2	13	8
NM_138034.3	48	56	194	203
NR_124721.1	0	0	0	2
NM_166656.2	7	7	43	47
NM_057966.5	878	1648	4857	4820
NM_058054.4	25	31	163	180
NM_001299887.1	0	0	4	4
NM_001299888.1	0	0	2	3
NM_001299891.1	38	83	1	1
NM_138037.3	0	4	23	18
NM_138038.2	0	0	2	0
NM_166662.3	0	0	1	2
NM_001259558.2	0	0	3	4
NM_138040.4	14	31	179	173
NM_079113.3	108	192	1270	1229
NM_138041.3	48	58	321	348
NM_138043.5	2	1	12	26
NM_138045.2	0	2	0	1
NM_079115.3	0	0	0	9
NM_206212.2	7	2	188	172
NM_079925.3	16	14	156	178
NM_001382064.1	0	3	1	5
NM_001299901.1	0	0	14	6
NM_080380.3	10	18	46	50
NM_001169818.3	0	0	3	1
NR_001911.1	0	0	1	0
NM_001202069.1	0	0	0	2
NM_138050.4	0	0	6	6
NM_138051.4	10	40	118	112
NM_138052.3	140	199	1938	1892
NM_138055.3	0	0	0	2
NM_138056.3	2	2	90	92
NM_138059.3	0	0	0	1
NM_166665.2	0	1	11	8
NM_001259562.1	0	0	0	5
NM_166666.2	0	0	1	0
NM_001144279.3	21	10	40	48
NR_124728.1	10	8	24	33
NM_138063.2	0	2	0	6
NM_206213.3	2	7	27	37
NM_001144280.2	5	8	82	97
NM_138064.4	0	6	11	10
NM_001299910.1	0	0	0	4
NM_138070.3	0	1	0	0
NM_079997.4	0	0	0	2
NM_079124.3	0	0	9	9
NM_001299915.1	0	0	0	1
NM_138077.3	0	0	3	0
NM_138078.3	4	9	49	47
NM_166675.2	0	1	4	1
NM_001144283.2	0	0	0	2
NM_001259564.2	34	23	100	124
NM_138081.4	20	18	166	186
NM_138084.4	1	0	0	2
NM_001169820.2	0	1	9	8
NM_166676.2	0	1	0	0
NM_138085.4	0	1	3	2
NM_001038882.3	0	0	2	0
NM_001299916.1	0	0	5	4
NM_138087.6	18	20	157	134
NM_001169823.2	14	10	132	126
NM_001259565.2	0	0	2	0
NM_138088.4	111	192	907	775
NM_138089.4	16	16	87	99
NM_001259567.2	0	0	2	10
NM_138093.4	0	0	8	13
NM_138094.4	0	4	4	3
NM_001169824.2	29	71	271	228
NM_001299920.1	2	3	2	0
NM_138095.1	0	1	2	1
NM_166678.3	4	1	4	1
NM_138097.4	20	26	110	132
NM_138099.3	4	11	71	69
NM_138100.3	8	12	75	96
NM_138102.4	17	15	106	141
NM_138101.5	0	2	11	19
NM_138104.2	0	0	2	0
NM_001299921.1	1	0	0	0
NM_001299922.1	0	0	0	1
NM_138108.3	14	34	74	80
NM_001299924.1	7	12	0	1
NM_166679.2	4	6	3	3
NM_001103974.3	0	0	2	0
NM_138111.4	16	18	207	228
NM_001202072.2	0	0	7	12
NM_079129.3	0	0	2	1
NM_001274241.1	1	1	4	2
NM_138117.3	0	0	0	2
NM_138118.4	10	20	20	34
NM_138119.7	18	42	157	171
NM_001259572.2	0	0	2	0
NM_138121.2	1	0	2	0
NM_001259573.1	0	0	5	7
NM_138122.5	22	45	155	169
NR_073901.1	0	5	0	0
NM_079130.2	2844	5003	18	16
NM_079131.3	8	6	42	83
NM_138123.3	12	17	122	102
NM_138124.4	12	22	173	145
NM_001259575.2	1	0	23	20
NR_048202.1	1	1	16	13
NM_057972.4	8	18	112	106
NM_079133.2	0	2	3	6
NM_001038884.2	14	21	72	74
NM_138129.4	14	18	110	110
NM_166691.4	116	153	541	577
NM_138130.4	0	0	4	8
NR_048203.1	0	0	0	1
NM_001169826.3	2	0	8	9
NM_166694.3	0	0	2	3
NM_001259577.2	0	0	13	24
NM_133164.4	24	44	1451	1367
NM_001274244.2	0	0	1	2
NM_001274245.2	0	0	1	4
NM_001259579.3	0	7	54	68
NM_001259582.2	0	0	14	7
NM_001014551.3	1688	3215	6125	5820
NM_001259578.1	0	0	0	1
NM_138135.2	5	7	71	56
NM_001259584.2	0	0	0	1
NM_138138.5	0	0	3	0
NM_001038885.2	6	7	24	36
NM_138139.4	24	47	297	295
NM_001299934.1	0	0	8	7
NM_138141.3	9	6	23	14
NM_138142.5	8	34	192	259
NM_001299937.1	0	0	2	3
NR_124732.1	0	0	5	5
NM_001259586.2	0	1	6	5
NM_001103982.3	0	0	2	2
NM_138144.3	46	37	491	455
NM_057283.5	4	8	7	5
NM_001299939.1	0	0	1	1
NM_001299942.1	0	0	0	2
NM_138147.4	0	4	6	8
NM_166703.3	3	8	39	42
NM_001299943.1	0	0	2	7
NM_079135.4	8	16	148	172
NM_001299944.1	4	5	38	33
NM_138148.4	8	15	183	162
NM_166704.4	41	32	217	201
NM_001202081.1	1	0	1	2
NM_001202082.2	0	0	4	7
NM_001144288.2	0	0	0	1
NM_079138.2	2	2	23	21
NM_079139.4	0	0	4	4
NM_079140.5	0	3	18	12
NM_001274250.1	10	8	26	13
NM_001274252.1	0	0	2	1
NM_166709.4	2	0	1	4
NM_001274253.1	0	0	74	86
NM_001259591.2	2	4	16	12
NM_079144.5	4	38	10	6
NM_001274254.1	0	0	5	11
NR_133140.1	0	2	2	0
NM_080382.4	3	9	96	88
NM_167792.3	0	2	8	7
NM_167789.2	0	0	0	6
NM_167793.3	0	0	0	1
NM_001144387.3	0	0	1	0
NM_001169831.3	2	0	45	43
NM_138159.4	5	1	2	15
NM_001169832.2	5	4	4	7
NM_001274255.1	0	3	0	0
NM_138161.2	2	0	0	0
NM_079145.4	0	1	6	6
NM_079916.3	1	6	29	36
NM_080383.4	16	52	449	465
NM_138165.2	9	8	68	80
NM_138168.3	0	0	0	1
NM_138171.2	0	0	4	4
NM_001299958.1	0	0	6	3
NM_001202085.2	2	4	161	154
NM_001103987.2	24	14	557	533
NM_001103988.2	0	0	29	28
NM_001274259.1	0	0	4	10
NM_001274258.1	0	0	0	3
NM_167821.3	27	42	660	608
NM_001274265.1	0	0	5	3
NM_001274266.1	7	8	32	20
NR_048208.1	1	0	0	4
NM_138178.3	0	0	1	0
NM_167822.3	0	0	0	6
NM_138182.2	2	3	35	30
NM_001382119.1	0	0	1	0
NM_167827.2	4	7	44	32
NM_138184.5	26	16	401	299
NM_138185.4	68	156	353	354
NM_001259603.2	4	11	74	62
NM_001259604.1	1	4	11	21
NM_138186.3	0	1	3	5
NM_001259606.2	2	2	15	20
NM_001169839.3	2	0	3	8
NM_138187.4	0	0	2	6
NM_167833.2	0	0	0	1
NM_138191.3	0	0	2	9
NM_001043111.3	8	6	47	38
NM_001299960.1	0	0	4	0
NM_001103992.2	7	0	33	31
NM_001274284.1	2	0	0	0
NM_001103994.2	2	0	0	0
NM_079150.4	7	4	40	43
NM_138194.3	114	139	853	811
NR_133143.1	0	0	1	0
NR_133144.1	0	2	7	6
NM_001274286.1	0	0	3	0
NM_138195.2	2	2	10	6
NM_138196.3	32	32	1632	1604
NM_138198.4	9	6	98	107
NM_138199.3	2	8	16	20
NR_124744.1	0	0	6	2
NR_048209.1	0	0	3	2
NM_138200.4	0	0	11	9
NM_138201.4	10	30	54	75
NM_138202.4	12	12	42	52
NM_138203.3	18	10	140	146
NM_138204.4	1	0	0	2
NM_001274289.1	0	0	1	0
NM_001274287.1	0	0	0	1
NM_138206.2	4	8	105	94
NM_138207.3	0	0	0	2
NM_167839.2	0	0	7	0
NM_138209.4	8	8	46	69
NM_138210.2	0	4	20	30
NM_167840.3	0	1	1	0
NM_001299961.1	0	0	0	4
NM_138212.3	0	0	1	1
NM_138213.3	0	0	4	6
NM_079152.4	114	120	690	714
NM_138214.2	0	0	0	1
NR_073908.2	0	0	0	2
NM_001274294.2	1	3	9	11
NR_003840.1	0	0	0	1
NR_003841.1	0	0	2	0
NR_003842.1	1	0	0	0
NR_003843.1	0	0	1	1
NR_003845.1	0	0	2	1
NR_003847.1	2	0	0	2
NM_138216.3	21	42	77	66
NM_001169843.2	15	18	185	183
NM_138217.3	0	0	0	1
NM_001259609.2	7	15	21	14
NM_001299962.1	6	8	2	6
NM_138221.2	14	24	102	82
NM_138222.3	0	0	4	0
NM_167844.2	0	2	17	15
NM_001274300.1	41	34	212	243
NM_138225.3	22	6	161	137
NR_048214.1	0	0	0	1
NM_001038890.2	124	152	333	339
NM_001038891.2	0	0	0	1
NM_138228.3	0	0	6	6
NM_080044.4	0	0	2	0
NM_001274306.1	0	0	2	0
NM_206227.3	0	0	2	0
NM_167850.2	4	2	42	22
NM_167848.2	0	0	3	4
NM_167847.2	0	0	1	0
NR_133149.1	4	4	59	37
NM_138235.3	0	2	0	0
NM_138236.2	0	0	1	1
NM_167858.4	2	4	0	4
NM_138237.4	42	82	22	20
NM_138238.3	2	4	0	0
NM_138240.2	12	36	54	48
NM_138241.4	0	3	44	18
NM_057470.5	0	6	187	200
NM_138242.3	6	4	20	10
NM_138243.4	7	13	40	52
NM_138244.3	2	0	0	2
NM_001031922.2	0	1	0	0
NM_138247.2	26	53	10	8
NM_167863.2	14	8	0	1
NM_001274317.1	14	2	18	40
NM_138249.3	30	24	327	270
NM_058044.5	1	6	35	49
NM_001274318.1	0	4	12	10
NM_138250.3	12	20	97	77
NM_001274319.1	2	2	10	4
NM_176270.2	1	0	7	7
NM_167867.2	2	2	10	5
NM_167868.2	0	1	8	1
NM_167872.2	14	4	20	28
NM_167871.2	0	0	0	2
NR_124752.1	0	0	4	6
NM_057586.4	0	0	0	9
NM_167870.2	0	0	0	2
NM_057654.4	0	0	1	0
NM_057655.4	3	5	2	4
NM_138256.4	2	2	18	20
NM_138257.3	0	2	18	39
NM_138258.3	0	1	0	0
NM_138259.3	78	121	299	345
NM_167875.2	0	2	1	0
NM_138261.3	0	0	1	0
NM_080051.3	0	8	0	0
NM_001104002.3	0	4	0	0
NR_124753.1	0	0	0	2
NM_001274326.1	0	2	6	8
NM_176272.2	0	0	0	3
NM_138266.2	1	0	0	0
NM_001274328.1	6	3	17	24
NM_138268.2	0	0	4	3
NM_001169844.2	3	0	18	17
NM_167886.1	0	0	1	0
NM_138269.3	80	88	345	375
NM_167883.2	0	1	5	1
NM_001038897.1	2	6	53	62
NM_001274332.1	1	0	4	7
NM_206232.2	0	4	16	12
NM_167890.2	0	0	1	2
NM_001274335.1	0	1	2	2
NM_001299969.1	0	0	30	31
NM_167894.2	0	0	2	10
NM_167892.2	0	0	4	2
NR_133151.1	0	0	18	15
NM_139365.3	4	0	319	245
NM_139367.4	0	0	0	1
NM_139369.2	2	8	2	7
NM_139368.1	0	0	6	1
NM_001299970.1	6	15	31	55
NM_001316470.1	2	2	15	17
NM_001274338.1	1	1	6	3
NM_139375.2	0	0	2	7
NM_139376.4	0	1	14	9
NR_133152.1	0	0	1	1
NM_206233.2	13	26	175	211
NM_167902.2	0	0	5	3
NM_079161.4	0	0	1	0
NM_139378.2	10	4	28	34
NM_001274341.1	0	2	0	3
NM_139379.4	1	2	16	10
NM_058047.5	1	0	7	5
NM_139380.2	6	4	28	14
NM_139381.2	3	24	68	63
NR_133153.1	0	0	1	1
NM_139383.2	67	131	1611	1600
NM_001316449.1	0	0	2	1
NM_001104005.3	0	0	8	16
NM_001259619.2	0	0	3	3
NM_167910.3	0	0	6	4
NR_003850.1	0	1	0	2
NR_003851.1	0	0	0	1
NM_139387.3	0	2	0	0
NM_139392.2	0	0	0	1
NM_139394.2	2	6	92	118
NM_139395.2	0	0	4	9
NM_139398.3	1	5	3	5
NM_001259621.2	11	14	24	21
NM_001274353.1	0	0	2	1
NM_206236.3	10	8	392	353
NM_139402.3	6	14	28	36
NM_139403.2	4	6	33	31
NM_139404.3	16	20	136	138
NR_133155.1	0	0	0	2
NM_167916.3	4	9	56	40
NM_057658.5	62	59	254	269
NM_134317.4	1	0	0	2
NM_057994.5	0	0	0	1
NM_058055.5	0	1	1	0
NM_001274362.1	0	0	0	2
NR_124756.1	0	0	0	2
NM_167920.2	0	0	1	0
NM_139408.3	9	0	29	25
NM_139413.4	0	0	0	1
NM_001274366.1	1	0	6	9
NM_001202094.2	0	0	5	0
NM_001299978.1	6	14	19	28
NM_057262.4	2	3	17	15
NM_001274368.1	0	0	1	0
NM_167926.3	5	10	30	24
NM_139417.3	0	0	6	6
NM_001274370.1	0	0	0	2
NM_139420.4	0	0	3	0
NM_139422.3	22	19	133	96
NM_139424.2	156	268	3116	3170
NR_133158.1	0	0	1	1
NM_139427.4	50	49	283	309
NM_139429.2	98	83	8	12
NR_124758.1	0	0	2	0
NM_001274375.1	0	0	0	1
NR_048217.1	0	0	0	1
NM_001259622.1	11	34	279	249
NM_001043113.2	1	10	29	34
NR_133160.1	0	0	0	2
NM_001144400.2	2	4	1	3
NM_139437.2	6	12	216	220
NM_001299983.1	0	0	0	1
NM_139439.2	0	4	7	19
NM_139442.1	0	0	2	0
NM_139443.2	0	0	17	32
NM_139444.2	3	5	20	22
NM_167938.2	0	0	3	4
NM_167940.2	0	0	1	0
NM_167942.3	3	2	2	5
NM_167941.3	0	0	1	0
NM_139448.4	67	56	270	289
NM_139449.2	16	18	106	89
NM_139450.3	36	77	349	360
NM_167944.3	0	0	0	2
NM_001299984.1	6	4	23	10
NM_139458.4	0	0	1	2
NM_139459.3	56	77	277	225
NM_079165.5	0	0	1	0
NM_139460.2	10	10	120	140
NM_139461.2	14	8	68	58
NM_001274398.2	0	0	10	6
NM_167949.1	0	0	4	2
NM_001031933.3	2	0	4	4
NM_139466.5	51	93	97	114
NM_167950.2	1	0	13	10
NM_139468.2	3	3	209	251
NM_001299991.1	1	3	76	73
NM_001274400.1	2	1	42	59
NR_124762.1	0	0	1	0
NR_124763.1	0	0	2	0
NM_167954.2	0	0	0	1
NM_001274404.1	0	0	3	8
NM_001274402.1	0	0	15	12
NM_167955.2	0	1	0	1
NM_167956.2	0	0	0	2
NM_139472.3	0	0	2	0
NM_139473.4	5	10	15	13
NM_167957.3	0	0	29	45
NR_133162.1	0	0	0	2
NR_124764.1	0	0	3	3
NM_167958.2	0	0	1	0
NM_167960.2	2	9	37	38
NM_139477.2	6	6	98	144
NM_001274406.1	0	0	4	6
NM_001202107.2	0	0	0	1
NM_206256.3	0	0	2	1
NM_001259651.3	25	23	144	140
NM_001144407.4	2	0	15	17
NM_001144406.3	1	0	1	0
NM_079168.3	0	0	0	5
NM_139488.4	106	124	356	370
NM_139489.2	142	202	1192	1293
NM_139490.2	20	29	122	122
NM_079169.3	12	40	97	98
NM_139496.3	2	4	36	32
NM_001274416.1	0	0	2	2
NM_001043115.3	0	0	0	3
NM_001104015.4	4	2	18	26
NM_001202109.2	0	0	1	0
NM_001038898.3	0	0	6	4
NM_139499.3	64	74	355	344
NM_001299996.1	0	3	13	15
NM_001274418.2	0	0	3	3
NM_080263.4	0	0	3	2
NM_139504.3	106	201	640	640
NM_139505.4	56	84	282	266
NM_167972.2	12	10	114	118
NM_139507.3	4	6	74	80
NM_139508.3	54	87	710	650
NM_167983.3	2	0	1	2
NM_167984.3	16	26	102	87
NM_167982.3	10	32	113	102
NR_001933.1	0	0	0	6
NM_139511.4	913	1507	1124	1141
NM_001347774.1	0	0	3	6
NM_001259658.3	0	1	0	0
NM_001382193.1	0	0	8	10
NM_001274425.1	1	2	4	10
NM_139514.3	16	7	74	69
NM_001259659.1	0	1	0	1
NR_133164.1	0	0	0	2
NM_139515.5	47	62	141	177
NM_139517.3	20	37	158	220
NM_001259662.1	16	18	48	54
NM_167990.3	0	0	1	0
NM_139518.3	122	226	242	276
NM_079173.5	1	1	2	1
NM_079174.2	26	32	123	129
NM_001274428.1	0	0	4	6
NM_001299998.1	2	0	1	2
NM_167994.1	0	0	3	0
NM_167996.2	8	16	97	128
NM_167995.2	0	2	85	67
NM_139521.2	2	0	8	6
NM_139522.3	126	286	120	114
NM_167997.2	0	0	6	2
NM_139524.3	0	0	5	4
NM_139526.4	2	0	30	22
NM_001274433.1	0	0	0	3
NM_139527.3	14	26	45	40
NM_167998.3	1	1	4	3
NM_139528.3	92	89	631	692
NM_168002.3	0	2	2	0
NM_176278.2	0	0	2	0
NM_139533.4	30	39	169	159
NM_168004.2	1	5	7	4
NM_168005.3	0	0	2	3
NM_001169865.2	1	0	1	2
NM_168006.3	0	2	1	3
NR_003852.1	0	1	3	4
NR_003853.1	0	0	1	3
NR_003854.1	0	0	1	0
NM_139535.4	250	395	692	758
NM_139536.4	5	12	34	40
NM_168008.3	3	1	22	26
NM_139537.4	4	5	32	13
NM_001259665.2	0	2	0	0
NR_124769.1	0	0	0	2
NM_168009.2	108	64	37	39
NM_206264.2	58	45	39	22
NM_001104021.3	6	7	48	37
NM_139540.3	0	2	2	2
NM_139542.3	0	2	0	0
NM_139543.3	1	0	0	0
NM_168017.2	0	0	8	4
NM_168015.2	10	26	171	185
NM_168018.2	0	0	1	0
NM_001274436.1	0	0	1	0
NM_139546.3	0	0	4	2
NM_168022.2	0	0	0	2
NM_168025.2	30	46	105	103
NM_168024.2	30	47	108	86
NR_124770.1	3	1	2	15
NM_139551.3	21	32	86	70
NM_139552.3	50	54	281	263
NM_001202112.2	0	0	0	1
NM_206266.3	0	0	3	0
NM_001104022.3	0	0	3	4
NM_079177.4	0	0	108	100
NM_139554.4	17	39	184	210
NM_168030.2	0	12	136	118
NM_001169868.2	0	0	1	3
NM_001300000.1	0	0	10	3
NM_139557.2	0	0	109	73
NM_168031.2	18	41	663	597
NM_079178.3	13	18	340	354
NM_139560.4	10	31	153	134
NM_168032.2	38	72	270	277
NM_057232.5	4	10	10	8
NR_133166.1	0	0	0	2
NR_002270.1	0	0	1	0
NM_001144410.2	1	4	3	5
NM_139564.2	0	0	1	0
NM_001104023.2	6	8	57	75
NM_206268.4	77	53	584	594
NM_168039.3	141	165	1412	1431
NM_001259678.1	0	0	3	6
NM_168040.2	0	0	1	0
NM_139572.3	8	8	87	122
NM_139573.2	0	8	60	58
NM_139574.4	4	2	53	52
NM_139575.3	1	3	8	3
NM_079181.4	29	59	73	65
NM_206270.2	2	1	4	2
NM_206271.2	0	0	4	3
NM_001104026.2	0	3	7	3
NR_003121.1	0	0	2	0
NM_001144411.1	0	0	10	4
NM_139578.3	12	19	118	122
NM_079185.4	0	0	2	0
NM_139579.3	94	143	544	596
NM_139580.3	4	16	42	28
NM_001202118.2	0	0	22	10
NM_001202116.1	0	0	7	2
NM_080163.4	70	48	212	179
NM_139582.3	0	2	0	1
NR_073912.1	0	0	0	1
NM_139583.4	25	25	77	88
NM_001274457.1	0	0	0	1
NM_001274458.1	0	0	0	2
NM_001274461.1	2	2	8	6
NM_139589.3	0	0	4	9
NM_001316436.1	0	0	2	0
NM_168046.3	2	0	16	12
NM_168052.3	0	0	0	2
NM_139595.3	62	91	928	867
NM_139596.3	14	2	1171	1092
NM_139597.2	0	0	0	1
NM_080071.3	0	0	0	2
NM_168054.2	0	0	1	0
NM_001169870.1	0	0	1	0
NM_080091.4	4	19	739	636
NM_139599.2	2	0	33	45
NM_139600.4	0	0	2	0
NM_001169871.1	0	0	1	3
NM_168060.3	0	1	15	20
NM_139601.4	33	21	273	316
NM_139602.3	66	90	562	640
NM_139603.3	37	54	336	329
NM_001300004.1	14	10	77	93
NM_001104028.2	0	1	13	16
NM_079191.3	8	11	104	122
NM_001274475.1	8	13	56	57
NM_079193.4	312	535	1447	1370
NM_079194.2	4	6	2	4
NM_168065.2	0	0	0	2
NM_139605.2	8	8	92	51
NR_124779.1	0	0	2	0
NM_139608.4	28	38	557	427
NM_144077.3	0	0	2	3
NM_139609.2	0	0	12	13
NM_139610.4	0	0	2	2
NM_001169874.3	0	0	6	3
NM_144078.2	2	0	3	0
NM_139611.3	38	34	214	222
NM_079196.3	0	0	0	1
NM_168067.2	0	0	2	3
NM_139613.3	0	0	0	3
NM_139615.3	0	0	2	2
NM_139617.2	0	0	0	2
NM_001274480.1	297	141	371	361
NM_168070.2	3	0	1	2
NM_079197.5	0	6	35	51
NM_057677.4	4	6	116	118
NM_079198.3	1	3	21	24
NM_139621.3	184	415	172	181
NM_139622.1	26	30	136	89
NM_139623.3	78	98	331	349
NM_139624.3	0	0	1	1
NM_139626.2	0	4	13	16
NM_001038900.2	16	8	156	150
NM_139630.3	109	120	440	425
NM_001169876.2	132	178	1956	1685
NM_139632.3	22	34	128	102
NM_168081.3	0	0	3	0
NM_139635.2	4	6	64	63
NM_001259694.2	0	1	2	3
NM_001014558.3	0	0	2	2
NM_139639.2	4	10	17	23
NM_139641.3	0	0	10	9
NM_001104032.1	0	0	0	1
NM_139643.3	69	106	452	500
NM_168085.2	0	1	1	2
NM_139644.3	0	0	4	0
NM_139645.3	0	0	4	6
NM_001144412.2	0	0	29	41
NM_139647.3	10	18	0	0
NM_168087.3	591	1919	16	8
NM_168088.3	5711	13706	948	1075
NM_168089.3	2	0	0	2
NM_139651.2	446	448	86	78
NM_139652.2	4	0	0	2
NM_139653.3	30	88	12	2
NM_139654.2	174	90	230	208
NM_139656.3	0	0	0	1
NM_079204.2	26	58	2851	2846
NM_139658.4	0	2	0	0
NM_168094.3	2	0	128	117
NM_001104036.3	4	19	26	34
NM_001259699.2	0	2	6	4
NM_001014563.3	0	0	2	0
NM_168098.3	0	0	0	2
NM_139661.4	88	133	347	374
NM_139663.1	0	0	2	2
NM_001104037.2	0	0	0	2
NM_139674.2	2	2	10	12
NM_144411.2	0	0	2	6
NM_139675.3	20	32	128	143
NM_139681.2	2	0	2	0
NM_139682.1	0	2	2	0
NM_139683.3	0	0	4	2
NM_001259706.2	0	0	4	2
NM_079206.5	0	0	2	0
NM_139693.2	0	4	13	8
NM_139692.3	10	20	95	90
NM_139691.2	6	18	131	160
NM_139690.4	20	39	507	574
NM_139689.3	14	42	195	222
NR_133173.1	0	0	3	1
NM_079208.3	24	72	282	297
NM_139686.3	0	2	22	32
NM_079207.4	160	186	799	834
NM_168112.4	0	2	44	37
NM_168113.3	0	0	2	0
NM_168115.2	2	0	4	8
NM_079210.3	84	108	380	380
NM_139701.2	56	139	123	121
NM_168117.3	12	17	20	14
NM_139702.4	0	1	0	0
NM_139703.4	11	8	63	99
NM_139704.2	25	49	221	181
NR_124797.1	0	0	0	1
NM_139709.2	2	0	0	0
NM_139711.3	0	0	3	0
NM_001259709.1	0	0	2	0
NM_139714.4	37	90	280	311
NM_079934.3	20	16	116	92
