Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_133124.4	5	12	111	97
NM_167642.3	17	12	81	56
NM_133145.4	10	24	198	171
NM_001258817.2	13	13	59	47
NM_001258826.1	0	0	0	1
NM_134497.2	0	0	2	0
NM_001272832.2	5	9	59	76
NM_001169343.2	2	3	10	12
NR_123990.1	0	0	0	1
NR_003723.2	4	4	38	35
NM_001382036.1	0	0	1	0
NR_123755.2	0	1	45	17
NM_001297798.1	0	0	0	1
NM_001297803.1	0	0	1	0
NM_001272159.1	2	6	25	21
NM_001144664.3	0	0	0	1
NM_166836.2	0	0	4	3
NM_001169157.2	0	0	0	2
NM_130482.3	0	0	6	0
NM_080290.4	0	0	1	0
NM_001258516.2	0	2	0	0
NM_001258517.1	0	0	0	2
NM_057444.3	0	0	255	247
NM_057476.3	0	0	2	2
NM_057346.5	0	0	0	2
NM_080292.4	2688	4235	28685	27940
NM_001103388.4	4	4	10	16
NM_130484.3	0	0	5	0
NM_001272166.1	0	0	7	6
NM_130487.4	10	18	338	299
NM_130488.3	4	10	72	110
NM_166844.1	2	2	3	3
NM_130489.3	5	14	19	12
NM_001297812.1	0	0	1	0
NR_123761.1	4	0	4	6
NM_001144669.2	0	0	0	2
NM_001258518.3	7	10	63	74
NM_001014713.4	0	0	2	3
NM_166847.4	1	0	2	0
NM_001297820.1	0	0	1	0
NM_001297816.1	1	1	5	2
NM_001297818.1	2	0	2	5
NR_123762.1	0	0	2	0
NM_130493.2	10	14	48	36
NM_130494.4	36	50	266	294
NM_144243.2	66	82	291	367
NM_001297821.1	0	1	2	2
NM_166854.2	0	0	2	1
NM_057245.3	6	16	164	139
NM_057902.4	0	1	2	4
NM_001297824.1	0	0	7	2
NM_130495.2	20	30	311	256
NM_001144671.3	0	0	0	1
NM_001258524.1	0	0	1	4
NM_001038729.3	3	0	6	1
NM_001297827.1	0	0	1	0
NM_001169159.2	1	0	1	2
NM_130500.4	122	219	202	206
NM_166862.4	2	0	1	1
NM_057786.5	637	979	5305	5252
NR_033152.1	10	26	97	106
NR_003724.1	4	6	20	15
NR_002459.2	0	0	2	2
NM_130503.3	0	2	3	5
NM_001297832.1	0	9	40	63
NM_080297.3	52	68	575	586
NM_130505.3	0	0	4	2
NM_130506.3	0	0	0	2
NM_130509.2	0	0	0	2
NM_130513.4	0	0	4	7
NM_130514.5	19	11	42	40
NM_130515.3	1	0	4	2
NM_144377.3	0	2	4	0
NM_166867.2	1	1	1	2
NM_166868.1	8	5	9	8
NM_130516.4	8	20	320	281
NM_130517.3	2	0	12	12
NM_130518.3	0	0	5	7
NM_130523.3	0	0	10	19
NM_144382.4	8	16	133	107
NM_130524.5	16	24	181	168
NM_001316642.1	1	0	6	1
NM_001042791.3	9	5	29	15
NM_130525.4	12	32	734	740
NM_001103392.2	2	0	4	1
NM_001272190.2	2	1	3	1
NM_166870.2	0	0	0	1
NM_001272191.1	0	0	0	2
NM_001272193.2	0	0	2	1
NM_166874.3	0	0	1	2
NM_001272195.1	0	0	0	1
NM_130542.4	0	2	50	38
NM_130545.3	0	0	0	4
NM_001297843.1	0	0	3	1
NM_166878.3	11	16	46	65
NM_080298.4	0	0	1	0
NM_001201594.2	0	0	0	1
NM_001297844.1	1	0	7	14
NM_130550.3	8	14	246	309
NM_058144.3	0	0	2	2
NM_001297845.1	0	0	0	1
NM_001297846.1	0	0	8	10
NM_166880.2	0	0	2	4
NM_143733.2	22	63	241	245
NM_001297849.1	0	0	7	3
NM_166883.4	0	0	0	1
NM_130556.2	3	2	20	18
NM_130557.3	20	56	196	218
NM_130558.3	0	0	6	2
NM_001297850.1	0	0	1	0
NM_130560.4	8	18	80	62
NM_001297853.1	0	0	5	0
NM_130562.2	0	2	18	17
NM_001297851.1	0	0	0	1
NM_166886.2	0	4	36	29
NM_130564.3	0	0	2	0
NM_130567.3	0	0	0	1
NM_001297855.1	1	6	66	43
NM_166890.3	1	1	1	5
NM_057402.5	0	0	2	0
NM_001297857.1	1	0	5	8
NM_001297859.1	2	0	4	0
NM_001144672.3	2	0	0	2
NM_166897.2	2	0	0	0
NM_166896.3	111	110	74	57
NM_001201596.3	19	19	19	18
NM_001201597.1	25	35	26	22
NM_057938.5	24	42	268	234
NM_130576.4	9	23	55	58
NM_001258536.2	0	0	2	3
NM_001258539.1	0	0	4	0
NM_001258542.2	0	0	2	1
NM_001258540.1	0	1	7	8
NM_001382020.1	0	1	4	5
NM_130586.2	0	0	0	4
NM_166908.2	0	0	1	0
NM_166906.2	0	0	5	3
NM_001272215.2	0	0	6	2
NM_130591.3	0	0	1	1
NM_130593.4	0	1	1	2
NM_130596.3	88	87	455	465
NM_001297867.1	0	1	0	1
NM_130598.3	4	19	148	173
NM_001272217.1	0	0	0	1
NM_130600.2	0	0	0	1
NM_001272219.1	0	0	1	2
NM_057318.4	7	4	28	31
NM_057317.4	1	3	8	13
NM_001272221.2	0	0	1	0
NM_166915.2	0	0	1	1
NM_130602.4	49	50	266	258
NM_001297868.1	4	2	35	40
NM_130606.3	1	0	2	0
NM_166917.2	1	0	0	0
NM_206607.2	8	4	40	30
NM_130609.4	10	10	46	40
NM_130612.4	17	39	139	194
NM_080125.5	0	0	0	1
NM_001258556.2	24	16	104	99
NM_001297869.1	0	0	5	3
NM_001272235.1	0	0	1	2
NM_001201604.2	6	12	6	7
NR_047733.1	1	2	0	2
NM_001297870.1	0	0	0	2
NM_001272240.1	0	0	1	0
NM_130615.3	0	2	0	6
NM_130616.3	4	9	95	110
NM_130617.4	46	66	308	382
NM_130618.3	0	0	7	3
NR_123774.1	0	0	2	1
NM_166925.3	1	2	43	44
NM_130620.4	0	0	4	2
NM_130619.5	0	0	20	24
NR_123775.1	0	0	2	3
NM_130621.3	0	0	0	2
NM_130622.3	8	16	121	137
NM_130623.3	28	50	425	414
NM_130624.3	53	86	292	303
NM_001272243.1	2	10	146	140
NM_001272244.1	0	0	4	5
NM_057783.3	0	5	237	259
NM_166928.2	0	0	2	3
NM_001103395.2	3	4	2	9
NM_057523.5	1	4	2	1
NM_001169173.1	0	1	10	4
NM_001297874.1	0	0	2	0
NM_166930.2	0	0	1	0
NM_130626.3	0	0	2	1
NM_057512.3	0	1	1	0
NM_057711.3	10	12	92	104
NM_001297875.1	0	0	6	2
NM_166932.2	0	0	1	0
NM_001272249.1	0	0	1	0
NR_047736.1	0	0	0	1
NM_001297876.1	0	3	2	2
NR_123776.1	0	0	12	12
NR_123777.1	0	0	15	18
NM_057336.5	7	11	47	69
NM_057984.5	31	37	676	644
NM_001297878.1	1	0	1	2
NM_057986.4	4	1	25	59
NR_047739.2	2	0	5	3
NM_143764.3	266	308	519	513
NM_001297883.1	0	0	0	2
NM_001014718.2	2	2	2	0
NM_001297885.1	0	0	0	1
NM_001297884.1	0	0	3	2
NM_001272252.1	2	0	6	2
NM_058143.4	8	18	171	187
NM_080307.2	2	0	11	10
NM_057770.5	48	60	384	358
NM_166934.2	0	4	3	2
NM_001297887.1	0	0	2	1
NM_130636.3	0	1	11	6
NM_130637.4	24	18	158	179
NM_001297890.1	2	5	23	15
NM_130638.4	0	0	0	1
NR_123778.1	0	2	0	3
NM_001169174.2	10	5	37	12
NM_130639.4	9	5	31	32
NM_001272255.1	24	20	137	162
NM_130641.3	0	0	2	3
NM_001103397.3	0	0	2	2
NM_130643.2	2	0	0	2
NM_130644.4	6	2	12	10
NM_080309.4	0	0	2	0
NM_166938.2	0	0	1	2
NM_130645.6	0	0	0	3
NM_080310.3	0	0	6	0
NM_001258561.1	0	0	4	4
NM_166941.3	0	0	0	1
NM_001201612.2	0	0	0	1
NM_001103398.4	0	0	2	0
NM_130654.3	0	0	1	1
NM_001258574.2	2	2	21	37
NM_080313.3	14	21	222	203
NM_166946.2	5	14	131	142
NM_001297900.1	2	0	1	3
NM_080314.3	0	0	5	7
NM_080162.4	40	38	266	284
NM_080029.4	20	32	101	131
NM_130655.2	184	304	1519	1516
NM_001258575.1	1	0	62	47
NM_001272262.2	7	15	59	49
NM_206613.3	0	0	2	8
NM_001169178.1	0	0	0	1
NM_001042794.4	14	2	39	53
NM_001169179.1	0	0	4	1
