"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_079168.3",0.498687254793216,1.16908183892365,4.82817140847002,0.242137600349636,0.808673544045275,NA
"NM_139488.4",211.259388349267,-0.929473594076961,0.315669710887102,-2.94444972710538,0.00323529502442572,0.0217203928725767
"NM_139489.2",452.892118809129,0.282617992015104,0.264601147160978,1.06809057726104,0.285479655886264,0.579909834872063
"NM_139490.2",53.4699766953857,-0.253091519430964,0.517493050561748,-0.489072305717398,0.624790507393095,0.856743040914816
"NM_079169.3",48.6417619038033,-0.59909736402339,0.585226661279393,-1.02370141974338,0.30597632460294,0.602570717496028
"NM_139496.3",10.2803212713111,0.951731369960349,1.15395100551918,0.824758906927897,0.409508480825487,0.705773727663107
"NM_001274416.1",0.400247553986887,0.851665239243918,4.83880108970803,0.176007490999244,0.860288057355789,NA
"NM_001043115.3",0.29921235287593,0.432246009339612,4.85690650680298,0.0889961560376285,0.929084965036887,NA
"NM_001104015.4",8.24433500124298,0.23155025408049,1.26247676063474,0.183409517941599,0.854476708304002,0.954316124811866
"NM_001202109.2",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_001038898.3",1.00126776004338,2.17449147916452,3.59190080279124,0.605387397523545,0.544921622694797,NA
"NM_139499.3",153.192106988697,-0.247167021432488,0.350564055378245,-0.705055232105312,0.480775864891797,0.764070034492048
"NM_001299996.1",4.35379540236779,0.768460246121834,1.80450504976014,0.425856522941833,0.670212397152064,0.877051827030586
"NM_001274418.2",0.600371330980331,1.43662165229646,4.43504383293001,0.323925017748326,0.745994802880787,NA
"NM_080263.4",0.500633880021688,1.17448536016869,4.7975052322007,0.244811689268327,0.806602242559225,NA
"NM_139504.3",306.551142623401,-0.483962880645608,0.301925306458183,-1.6029225450588,0.108951755531839,0.320462616188783
"NM_139505.4",137.641955729166,-0.596855833969823,0.359993905385391,-1.65796094056331,0.0973253504356838,0.298623201023774
"NM_167972.2",36.8159644702103,0.790979986078684,0.642010825771838,1.23203527779731,0.217935906384786,0.502211738359161
"NM_139507.3",21.3220734770062,1.37619602028941,0.841783721906895,1.63485701193165,0.102079025935698,0.308500254226651
"NM_139508.3",219.054662602381,0.709559836071926,0.323642851241397,2.19241621852689,0.0283494666004161,0.123287549576861
"NM_167983.3",1.7043944652861,-2.17401890168328,2.75112422905252,-0.790229273809277,0.429393882816195,NA
"NM_167984.3",43.6096615169334,-0.390025782253434,0.567454576940184,-0.687325114825089,0.491877875786867,0.77348142533633
